,word,origin_type,source_language,original_word
368,eagle,earlier,Latin,aquila
369,driving licence,earlier,Latin,licentia
370,doubt,earlier,Latin,dubium
371,doorpost,earlier,Latin,posita
372,dolphin,earlier,Latin,delphīnus
373,doctor,earlier,Latin,doctor
374,divorce,earlier,Latin,divortiāre
375,divide,immediate,Latin,dīvidere
376,dish,immediate,Latin,discus
377,difficult,immediate,Latin,difficilis
378,devil,immediate,Latin,diabolus
379,descendant,earlier,Latin,"descēnden-s, -tem"
380,deny,earlier,Latin,negāre
381,demon,immediate,Latin,daemōn
382,"defend, defendant",earlier,Latin,dēfendere
383,defecate,immediate,Latin,dēfaecāre
384,defeat,earlier,Latin,disfacere
385,deceit,earlier,Latin,dēcipere
386,debt,earlier,Latin,debitum; dēbēre
387,danger,earlier,Latin,domniārium
388,damage,earlier,Latin,damnum
389,custom,earlier,Latin,consuetũdō
390,cure,earlier,Latin,cūráre
391,cup,immediate,Latin,"cuppa (Vulgar), cūpa (Classical)"
392,cultivate,immediate,Latin,cultivāre
393,cry,earlier,Latin,quirītāre
394,crush,earlier,Latin,cruscīre
395,cross,immediate,Latin,crux
396,crime,earlier,Latin,crīmen
397,cover,earlier,Latin,cooperīre
398,cousin,earlier,Latin,consobrīnus
399,court,earlier,Latin,"cohor-s, -tem"
400,country,earlier,Latin,contrāta (terra)
401,count,earlier,Latin,computāre
402,corpse,earlier,Latin,corpus
403,cormorant,earlier,Latin,corvus marīnus
404,copulate,immediate,Latin,copulāre
405,copper,immediate,Latin,cuprum
406,"cook, cooked",immediate,Latin,coquere
407,convict,earlier,Latin,convincere
408,cone,immediate,Latin,conus
409,condemn,earlier,Latin,condemnāre
410,conceive,earlier,Latin,concipere
411,command,earlier,Latin,commandāre
412,colour,earlier,Latin,color
413,collect,earlier,Latin,colligere
414,collar,earlier,Latin,collāre
415,coin,earlier,Latin,cuneus
416,cock,earlier,Latin,coccus
417,close,earlier,Latin,claudere
418,clear,earlier,Latin,clārus
419,clan,earlier,Latin,planta
420,city,earlier,Latin,"cīvi-tās, -tātem"
421,citrus,immediate,Latin,citrus
422,circumcision,immediate,Latin,circumcīdere
423,circle,immediate,Latin,circulus
424,chieftain,earlier,Latin,capitānus
425,chest,immediate,Latin,cista
426,cheese,immediate,Latin,cāseus
427,cheap,immediate,Latin,caupō
428,change,earlier,Latin,cambiāre
429,chameleon,immediate,Latin,chamaeleon
430,chain,earlier,Latin,catēna
431,certain,earlier,Latin,certānus
432,centipede,immediate,Latin,centipeda
433,cease,earlier,Latin,cessāre
434,cave,earlier,Latin,cāva
435,cause,earlier,Latin,causa
436,cattle,earlier,Latin,capitāle
437,catch,earlier,Latin,captiāre
438,castle,earlier,Latin,castellum
439,carpet,earlier,Latin,carpita
440,captive,earlier,Latin,captīvus
441,cape,earlier,Latin,caput
442,cap,immediate,Latin,cappa
443,candle,immediate,Latin,candella
444,camp,immediate,Latin,campus
445,camel,immediate,Latin,camēlus
446,calendar,earlier,Latin,calendae
447,butter,immediate,Latin,butyrum
448,bus,immediate,Latin,omnibus
449,buffalo,earlier,Latin,būfalus
450,brush,earlier,Latin,bruscum
451,branch,earlier,Latin,branca
452,bracelet,earlier,Latin,bracchiāle
453,bottle,earlier,Latin,buttis
454,boil,earlier,Latin,bullire
455,birth certificate,earlier,Latin,certificātum
456,bill,earlier,Latin,bulla
457,betray,earlier,Latin,tradere
458,belt,immediate,Latin,balteus
459,because,immediate,Latin,"causa, earlier caussa"
460,beak,earlier,Latin,beccus
461,bay,earlier,Latin,baia
462,battery,earlier,Latin,battuere
463,autumn,earlier,Latin,autumnus
464,aunt,earlier,Latin,amita
465,artery,immediate,Latin,artēria
466,arson,earlier,Latin,"arsiō, -nem"
467,arrive,earlier,Latin,adrīpāre
468,army,earlier,Latin,armāta
469,armpit,immediate,Latin,put(t)eus
470,arch,earlier,Latin,arcum
471,anxiety,immediate,Latin,"anxietā-s, -tem"
472,announce,earlier,Latin,annunciāre
473,animal,immediate,Latin,animālis
474,anchor,immediate,Latin,anchora
475,ancestor,earlier,Latin,"antecēssor, -em"
476,altar,immediate,Latin,altāre
477,allow,earlier,Latin,"allocāre, allaudāre"
478,age,earlier,Latin,aevum
479,aeroplane,immediate,Latin,aēr + plānus
480,adultery,earlier,Latin,adulter
481,admit,earlier,Latin,admittere
482,adjudicate,immediate,Latin,adiudicāre
483,address,earlier,Latin,ad + dīrectus
484,acquit,earlier,Latin,acquitāre
485,accuse,earlier,Latin,accusare
486,Saturday,immediate,Latin,Saturnus
487,(sting)ray,earlier,Latin,raia
488,(be) silent,immediate,Latin,"silen-s, -tem"
489,try,earlier,Late Latin,triāre
490,train,earlier,Late Latin,tragināre
491,touch,earlier,Late Latin,toccāre
492,temple(s),earlier,Late Latin,tempula
493,taste,earlier,Late Latin,tastāre
494,tablet,earlier,Late Latin,tabuleta
495,square,earlier,Late Latin,exquadra
496,sorcerer,earlier,Late Latin,sortiārius
497,soldier,earlier,Late Latin,solidārius
498,scissors,earlier,Late Latin,cīsōria (Pl; unattested)
499,sausage,earlier,Late Latin,salsīcia
500,saucer,earlier,Late Latin,salsārium
501,rule,earlier,Late Latin,rēgulāre
502,return,earlier,Late Latin,re-tornāre
503,quail,earlier,Late Latin,quacula/coacula
504,preserve,earlier,Late Latin,praeservāre
505,praise,earlier,Late Latin,pretiāre
506,plate,earlier,Late Latin,plattus
507,plait,earlier,Late Latin,plictum
508,pipe,immediate,Late Latin,pīpa
509,pinch,earlier,Late Latin,pinctiāre
510,piece,earlier,Late Latin,pecia
511,petrol(eum),immediate,Late Latin,petroleum
512,paddle,immediate,Late Latin,padela
513,niece,earlier,Late Latin,neptia
514,mushroom,earlier,Late Latin,mussirio
515,mill,immediate,Late Latin,molīna
516,measure,earlier,Late Latin,mēnsūrāre
517,mat,immediate,Late Latin,matta
