,word,origin_type,source_language,original_word
909,dig,immediate,French,diguer
910,destroy,immediate,French (Anglo-Norman),destruire
911,descendant,immediate,French,descendant
912,deny,immediate,French,denier (now nier)
913,defendant,immediate,Old French,deffendant
914,defend,immediate,French,défendre
915,defeat,immediate,Old French,defeit
916,deceit,immediate,Old French,deceite
917,debt,immediate,French,dette
918,danger,immediate,French (Anglo-Norman),danger
919,dance,immediate,French,danser
920,damage,immediate,Old French,damage
921,custom,immediate,Old French,custome
922,cure,immediate,Middle French,curer
923,cry,immediate,French (Anglo-Norman),crier
924,crush,immediate,French (Anglo-Norman),croisir
925,crouch,immediate,French (Anglo-Norman),crochir
926,crocodile,immediate,French (Anglo-Norman),cocodrille
927,crime,immediate,French,crime
928,cover,immediate,French,couvrir
929,cousin,immediate,French,cousin
930,court,immediate,Old French,court
931,country,immediate,French,contrée
932,count,immediate,French,compter
933,cotton,immediate,French,coton
934,corpse,immediate,Middle French,cors
935,corner,immediate,French (Anglo-Norman),corner
936,cormorant,immediate,Old French,cormoran
937,convict,immediate,French,convaincre
938,condemn,immediate,French (Anglo-Norman),condemner
939,conceive,immediate,French,concevoir
940,command,immediate,French (Anglo-Norman),cumander
941,colour,immediate,Old French,colour
942,collect,immediate,Middle French,collecter
943,collar,immediate,French,coler
944,coin,immediate,French (Anglo-Norman),coin
945,cock,immediate,French,coq
946,coat,immediate,French,cote
947,close,immediate,French,clore
948,cloak,immediate,French,cloque
949,clear,immediate,French (Anglo-Norman),cler
950,city,immediate,French (Anglo-Norman),cite
951,citizen,immediate,French (Anglo-Norman),citezein
952,cigarette,immediate,French,cigarette
953,chisel,immediate,French (Anglo-Norman),chisel
954,chimney,immediate,French,cheminée
955,chieftain,immediate,French (Anglo-Norman),chevetain
956,chase,immediate,French (Anglo-Norman),chacier
957,change,immediate,French,changer
958,chair,immediate,Old French,chaire
959,chain,immediate,French,chaîne
960,certain,immediate,French,certain
961,cease,immediate,French,cesser
962,cave,immediate,French,cave
963,cause,immediate,French,cause
964,cattle,immediate,French (Anglo-Norman),catel
965,catch,immediate,French (Anglo-Norman),cachier
966,castle,immediate,French (Anglo-Norman),castel
967,cassava,immediate,French,cassave
968,carry,immediate,French (Anglo-Norman),carier
969,carpet,immediate,Middle French,carpite
970,carpenter,immediate,French (Anglo-Norman),carpentier
971,caribou,immediate,French,caribou
972,carcass,immediate,French (Anglo-Norman),carcois
973,car,immediate,French (Anglo-Norman),carre
974,captive,immediate,French,captif
975,cape,immediate,French,cap
976,calm,immediate,French,calme
977,calendar,immediate,French,calendier
978,button,immediate,French,boton
979,brush,immediate,French,brosse
980,brick,immediate,French,brique
981,brave,immediate,French,brave
982,branch,immediate,French,branche
983,brake,immediate,French,braquer
984,bracelet,immediate,French (Anglo-Norman),bracelet
985,boundary,immediate,French (Anglo-Norman),"bodne, borne"
986,bottle,immediate,Old French,botaille
987,booty,immediate,French,butin
988,boot,immediate,Old French,bote
989,bomb,immediate,French,bombe
990,boil,immediate,French (Anglo-Norman),boillir
991,blue,immediate,Old French,blue
992,blister,immediate,French (Anglo-Norman),blestre
993,blanket,immediate,French (Anglo-Norman),blankete
994,blame,immediate,French,blâme
995,birth certificate,immediate,French,certificat
996,bill,immediate,French (Anglo-Norman),bille
997,betray,immediate,French (Anglo-Norman),trair
998,beggar,immediate,French,Beguinard
999,beautiful,immediate,French (Anglo-Norman),biaute
1000,beak,immediate,French,bec
1001,bay,immediate,French,baie
1002,battle,immediate,French,bataille
1003,battery,immediate,French (Anglo-Norman),batre
1004,barter,immediate,French,barater
1005,bank,immediate,French,banque
1006,autumn,immediate,French,automne
1007,aunt,immediate,Old French,aunte
1008,attack,immediate,French,attaquer
1009,astonished,immediate,French (Anglo-Norman),estoner
1010,arson,immediate,French,arson
1011,arrive,immediate,French,arriver
1012,army,immediate,French,armée
1013,armour,immediate,French (Anglo-Norman),armure
1014,arch,immediate,French,arche
1015,approach,immediate,French (Anglo-Norman),aprochier
1016,announce,immediate,French (Anglo-Norman),anoncer
1017,ancestor,immediate,French (Anglo-Norman),ancestre
1018,ambush,immediate,Old French,embusche
1019,allow,immediate,Old French,alouer
1020,alcohol,immediate,French,alcool
1021,air,immediate,French,air
1022,age,immediate,French,âge
1023,adultery,immediate,Old French,avouterie
1024,admit,immediate,French,admettre
1025,address,immediate,French,adresse
1026,acquit,immediate,Old French,aquiter
1027,accuse,immediate,French,accuser
1028,(sting)ray,immediate,French,raie
1029,wagon,immediate,Dutch,wagen
1030,trade,immediate,Dutch,trade
1031,tea,immediate,Dutch,thee
1032,swamp,immediate,Dutch,swampen
1033,split,immediate,Dutch,splitten
1034,slip,immediate,Dutch,slippen
1035,sling,immediate,Dutch,slinge
1036,sledge,immediate,Dutch,slede
1037,shore,immediate,Dutch,schôre
1038,rub,immediate,Dutch,rubben
1039,reef,immediate,Dutch,riffe
1040,pill,immediate,Dutch,pille
1041,mumble,immediate,Dutch,mummelen
1042,mud,immediate,Dutch,modde
1043,dig,earlier,Dutch,dijk
1044,coffee,immediate,Dutch,koffie
1045,clock,immediate,Dutch,klokke
1046,brick,earlier,Dutch,bricke
1047,brackish,immediate,Dutch,brak
1048,blink,immediate,Dutch,blenken
1049,bamboo,immediate,Dutch,bamboes
1050,(good) luck,immediate,Dutch,(ge)luk
1051,rich,immediate,Celtic,rīx
1052,down,immediate,Celtic,dounon
1053,carry,earlier,Celtic,karros
1054,car,earlier,Celtic,karros
1055,zero,earlier,Arabic,ṣifr
1056,sugar,earlier,Arabic,sukkar
1057,mosque,earlier,Arabic,masjid
1058,mattress,earlier,Arabic,ţaraħa
1059,lemon,earlier,Arabic,laimūn
1060,cotton,earlier,Arabic,qutn
1061,coffee,earlier,Arabic,qahwa
1062,alcohol,earlier,Arabic,al-koħl
